hidden_layers,n_layers,total_units,learning_rate,alpha,batch_size,n_iterations,val_mae,val_rmse,test_mae,test_rmse
"(64, 32)",2,96,0.0031,0.0008,9,15,0.3656975706027547,0.46816929526586903,0.3596755304930421,0.43440400361077697
"(64, 32)",2,96,0.0031,0.0008,10,15,0.3651926305018335,0.4673119479457118,0.3595834864744126,0.4327752224319255
"(64, 32)",2,96,0.0031,0.0009,6,15,0.3546993027776937,0.46337299927436837,0.3326625238761678,0.41468252680337425
"(64, 32)",2,96,0.0031,0.0009,7,15,0.3516255526624256,0.4647372868904321,0.3343968017483972,0.4172561178817686
"(64, 32)",2,96,0.0031,0.0009,8,13,0.38120629299041703,0.46647031716853776,0.3628021829565067,0.43603851394193877
"(64, 32)",2,96,0.0031,0.0009,9,15,0.36485379044925537,0.46546559591180303,0.36160263834366135,0.43693625078279935
"(64, 32)",2,96,0.0031,0.0009,10,15,0.3654744192314243,0.4684297560332378,0.3584450733917395,0.4332858236237341
"(64, 32)",2,96,0.0032,0.0001,6,13,0.3763186013433951,0.46201534157604635,0.36624887233742254,0.43758341593425626
"(64, 32)",2,96,0.0032,0.0001,7,13,0.37927996715311335,0.4605602200277737,0.36441395698091344,0.43053399099866496
"(64, 32)",2,96,0.0032,0.0001,8,13,0.3783091335274628,0.46473891917519,0.3617851452845194,0.43387554087548036
"(64, 32)",2,96,0.0032,0.0001,9,15,0.3657865309662204,0.46742957191780543,0.353544013692441,0.4307677175469251
"(64, 32)",2,96,0.0032,0.0001,10,15,0.3632331294602517,0.4681862921943879,0.3589597588194217,0.43231003321506767
"(64, 32)",2,96,0.0032,0.0002,6,15,0.34829328947451765,0.45820801039553666,0.3376802806390621,0.41950042155335304
"(64, 32)",2,96,0.0032,0.0002,7,13,0.376993013551348,0.45967402075546837,0.36373466470077886,0.43114430665719466
"(64, 32)",2,96,0.0032,0.0002,8,13,0.38115476430562323,0.4644201144502517,0.3639048996080221,0.4352649033710116
"(64, 32)",2,96,0.0032,0.0002,9,15,0.36340878085809974,0.4635870522910626,0.35376941823877706,0.4323620085129718
"(64, 32)",2,96,0.0032,0.0002,10,15,0.3643516129975533,0.46771434175099574,0.3602152352350322,0.4342247213535623
"(64, 32)",2,96,0.0032,0.0003,6,13,0.37929119464605465,0.4629588353693774,0.3681378660937367,0.437010003754341
"(64, 32)",2,96,0.0032,0.0003,7,15,0.3487223548411429,0.46641062331663197,0.3305048444040128,0.4207046175902371
"(64, 32)",2,96,0.0032,0.0003,8,15,0.35649120473994184,0.4661526127268441,0.34497865492822133,0.42947879307648645
"(64, 32)",2,96,0.0032,0.0003,9,15,0.36678128077011557,0.46529001874994275,0.3570727843958718,0.43498729203221403
"(64, 32)",2,96,0.0032,0.0003,10,15,0.36249020354148037,0.4658035238921194,0.357250250977413,0.43120836542091373
"(64, 32)",2,96,0.0032,0.0004,6,13,0.3793842413187729,0.46252813168001694,0.36974025778631303,0.4365443404062267
"(64, 32)",2,96,0.0032,0.0004,7,13,0.3759320169514847,0.4604970074929387,0.361569135974165,0.4298693054665649
"(64, 32)",2,96,0.0032,0.0004,8,15,0.3611842576138899,0.468040803633054,0.35193645187754014,0.4316770288699442
"(64, 32)",2,96,0.0032,0.0004,9,15,0.36465851080640677,0.4636017895422712,0.35648483352548327,0.4325613509135709
"(64, 32)",2,96,0.0032,0.0004,10,15,0.3664754507624655,0.4673400467186454,0.3593084401997085,0.4328813116474076
